TÍTULO,FECHA,AUTOR,CONTENIDO,CATEGORÍA
Evo Morales dice que Luis Arce «engañó y mintió» sobre el intento de golpe de Estado en Bolivia,2024-07-01T05:41:04Z,(abc),"El expresidente boliviano Evo Morales ha asegurado que el actual mandatario, Luis Arce, ha «engañado» y «mentido» tanto a la población del país como al resto del mundo respecto al intento de golpe de… [+3850 chars]",Internacional
Ilia Topuria sentencia el partido entre España y Georgia con estas palabras,2024-07-01T09:11:06Z,(abc),"España sigue maravillando en la Eurocopa 2024. El certamen prosigue su calendario y el conjunto nacional español liderado por Luis de la Fuente mira ya los cuartos de final, que jugará esta semana. E… [+2420 chars]",Internacional
El trágico plan radiactivo para detener la caza furtiva de este animal en peligro de extinción,2024-07-01T10:37:05Z,Redacción HuffPost / Agencias,"Científicos de una universidad sudafricana han introducido bajas dosis de radioisótopos en los cuernos de veinte rinocerontes vivos para evitar el tráfico de especies, ya que, de producirse la caza f… [+2987 chars]",Internacional
"Cristina Kirchner apunta contra Milei: ""Yo no quiero que fracase, espero que corrija""",2024-07-01T13:25:59Z,"RT en Español
 , RT en Español","La exmandataria de Argentina Cristina Fernández de Kirchner brindó una entrevista en un canal 'online' en la víspera del 50 aniversario de la muerte del general Juan Domingo Perón, quien fue tres vec… [+3816 chars]",Internacional
¿Cómo llegó Nicolás Maduro al poder en Venezuela?,2024-07-01T11:59:20Z,Anabella González,"Maduro aparece 13 veces en la boleta electoral 0:43
(CNN Español) -- Nicolás Maduro es candidato para las elecciones presidenciales del 28 de julio. Si su candidatura logra el apoyo popular en las u… [+5178 chars]",Internacional
NASA contrata a SpaceX por 843 mdd para sacar de órbita a la Estación Espacial Internacional,2024-07-01T13:44:08Z,EFE,"Washington.- La agencia espacial estadounidense, NASA anunció la concesión de un contrato de 843 millones de dólares (unos 787 millones de euros) para que SpaceX construya un vehículo espacial que sa… [+1802 chars]",Internacional
La Autoridad Palestina rechaza el despliegue de tropas internacionales en la Franja de Gaza,2024-07-01T08:55:00Z,La Voz,"El Ejército israelí liberó este lunes a Mohamed Abu Salmeya, director del hospital Al Shifa, el más grande de la Franja de Gaza, tras pasar siete meses detenido, según informaron a EFE fuentes palest… [+5028 chars]",Internacional
"No, no hay dos astronautas de la NASA atrapados en la ISS, pero es un fiasco para Boeing",2024-07-01T11:51:00Z,R. Badillo,La NASA pagará casi 1.000 M a SpaceX para que destruya la Estación Espacial Internacional¿Cuánto costará sacar de órbita la Estación Espacial Internacional? La NASA lo explicaLos astronautas Barry Wi… [+5613 chars],Internacional
"Nos obsesiona saber cuál es el mejor agua del grifo ""según la OCU"". El problema es que la OCU no se ha pronunciado",2024-07-01T13:45:44Z,Javier Jiménez,"Cada cierto tiempo, algún medio español saca un artículo sobre ""el mejor agua del grifo, según la OCU"". Minutos después, el resto de medios se lanza detrás. Y es curioso. No solo porque, evidentement… [+4164 chars]",España
"El Plan MOVES III es un caos: esperas de tres años, 250 millones aprobados por encima del presupuesto y regiones desbordadas",2024-07-01T14:01:45Z,Alberto de la Torre,"La semana pasada, el Gobierno anunciaba que ampliaba el Plan MOVES III. Las ayudas para la compra de un coche eléctrico (también entran híbridos enchufables) que ofrecen hasta 7.000 euros de descuent… [+6571 chars]",España
Los eventos astronómicos de julio vienen cargados de lluvias de estrellas,2024-07-01T07:44:07Z,Azucena Martín,"Llega julio, un mes que aparentemente no trae muchos eventos astronómicos; pero que, en realidad, tiene algunas fechas muy interesantes para poner la vista en el cielo. A menudo se dice que este mes … [+4290 chars]",España
Varios podcasts de Podium Podcast han desaparecido de la noche a la mañana. Y nadie ha dado una explicación,2024-07-01T15:15:44Z,Javier Lacort,"Varios podcasts muy populares producidos por Podium Podcast, la plataforma de PRISA Audio, han desaparecido repentinamente de las plataformas de streaming, generando confusión entre sus oyentes.
Qué… [+3338 chars]",España
Así es como los ‘spas de cerveza’ están conquistando el mundo,2024-07-01T09:56:33Z,Juan Carlos Orellana,La cerveza es la primera bebida inventada por la humanidad. Legendario fue el momento en que algún genio se cansó de tomar agua y comenzó a diseñar un líquido más divertido que cambiaría la historia … [+3146 chars],España
Si quieres ver porno vas a tener que contar con un 'carnet digital' que caduca a los 30 días: así es la última medida del Gobierno,2024-07-01T16:36:47Z,José Alberto Lizana,La teoría marca que el contenido de adultos o pornografía está destinado lógicamente a aquellos que son mayores de edad. Pero la realidad es que los menores cada vez consumen más cantidad de contenid… [+3778 chars],España
Esta web te dice qué aerolíneas pierden más maletas facturadas. Las españolas no salen (nada) bien paradas,2024-07-01T10:31:44Z,José Alberto Lizana,"Con la llegada del verano comienza el periodo de vacaciones y por ello somos muchas las personas que cogemos un avión para desplazarnos, haciendo que en esta época se intensifiquen las operaciones en… [+3049 chars]",España
"España, ante algo que nunca logró: ganar al anfitrión",2024-07-01T06:12:00Z,MIGUEL ÁNGEL LARA,"Atravesada la puerta de los octavos después de dejar a Georgia eliminada en Colonia, España ya mira a Stuttgart. Allí, el viernes la espera un ogro. O el ogro de la competición. La anfitriona Alemani… [+4676 chars]",España
Scott McCarthy se une a Refinery89 como nuevo Director de Ventas para España,2024-07-01T11:40:58Z,Redacción,"Refinery89 sigue apostando por el talento e incorpora a Scott McCarthy, con más de 10 años de experiencia, como Director de Ventas en España.Refinery89, la innovadora empresa AdTech con raíces holand… [+2304 chars]",España
"""Si no es el 14 de julio de 2024, será el 19 de julio de 2026""",2024-07-01T07:05:47Z,JUAN IGNACIO GARCÍA-OCHOA,"Es probable que España no gane la Eurocopa, porque ganar es muy difícil y más si tienes que hacer frente a la anfitriona, pero no hay equipo mejor que España. No hay que tener miedo a decirlo. Nadie … [+1938 chars]",España
El único comentario de Topuria sobre el España-Georgia,2024-07-01T07:54:35Z,marca.com,El partido de la Euro que enfrentaba a España y Georgia tenía un nexo común por Ilia Topuria. Se enfrentaban sus dos países. Y lo cierto es que desde que se supo que ambas selecciones habían quedado … [+1484 chars],España
12.000 euros por mudarte a este pueblo de León a teletrabajar: cómo solicitar la subvención desde tu Mac/iPhone y disfrutar de una de las áreas más tranquilas de España,2024-07-01T16:01:45Z,Álvaro García M.,"El problema de la España vaciada es real y en Castilla y León nos encontramos una de las regiones más grandes y que, sin embargo, más población está perdiendo. Es por ello por lo que la Junta ha impl… [+3244 chars]",España
"José Luis Arbeo, nuevo director general de la Asociación de Marketing de España (AMKT)",2024-07-01T15:18:23Z,Helen Bustos,"Sucede en el cargo a Víctor Conde, quien ha desempeñado muy exitosamente esa función los últimos once años.José Luis Arbeo se incorpora a la AMKT para aportar sus más de 30 años de experiencia en ges… [+1951 chars]",España
Víctor Claver deja el baloncesto tras 18 años y un brillante palmarés con España,2024-07-01T11:56:00Z,Efe,"El jugador valenciano Víctor Claver ha anunciado este lunes, cuando está a punto de cumplir 36 años, su retirada de las pistas tras una carrera profesional de casi 20 años que arrancó y ha acabado en… [+1442 chars]",España
Estas son las playas con mejor acceso para personas mayores o con alguna discapacidad en España,2024-07-01T12:09:11Z,Sara Hormigo,"Como cada año, esperamos con ansia la llegada del buen tiempo, y por supuesto, del verano, para poder disfrutar de unos días de playa, ya sea rodeado de amigos o de familiares. Las personas mayores, … [+4845 chars]",España
"La élite de mujeres falangistas que consolidó a Franco: ""Trabajaron en un régimen machista y patriarcal, pero no lo hicieron a la fuerza sino por fe ideológica""",2024-07-01T22:09:58Z,Vanessa Graell,"En noviembre de 1968, Pilar Primo de Rivera, la mujer con más poder de la España franquista, escribió una carta secreta dirigida a sus hermanas de la Falange, los altos mandos de la Sección Femenina … [+528 chars]",España
En boca de todo el mundo,2024-07-01T10:00:05Z,MIGUEL ÁNGEL LARA,"Son la sensación de la Eurocopa. Sus nombres están en los medios de todo el mundo. Los alemanes, rivales de España el viernes en Stuttgart con las semifinales en juego, lo tienen claro: son el terror… [+2868 chars]",España
"""Una selección de extremos""",2024-07-01T06:30:20Z,RAÚL VARELA,"Aquella noche de Aarhus, Dinamarca, donde dicen comenzó todo hace ya camino de los veinte años, España marcó un gol para la historia. 69 pases, nueve futbolistas participando en la jugada, todos meno… [+1179 chars]",España
Francia se apunta al infierno,2024-07-01T17:54:34Z,R. JIMÉNEZ y M. MALAGÓN,"El cuadro final de la Eurocopa 2024 sigue quemando etapas. España ya conoce su camino hacia el partido definitivo, que se disputará en Berlín. Paso a paso. Superado el escollo de Georgia en octavos, … [+1350 chars]",España
La Eurocopa sigue arrasando en audiencia en los octavos de final,2024-07-01T08:13:56Z,Helen Bustos,"El Inglaterra - Eslovaquia, donde Jude Bellingham deslumbró con una chilena en el último momento para clasificar a su país al más puro estilo Real Madrid, acumuló un total de 2.921.000 espectadores.L… [+2457 chars]",España
"Álvaro Benito: ""La jugada del gol de Nico Williams está a la altura de Mbappé""",2024-07-01T06:46:07Z,ENRIQUE CORBELLA,"Nico Williams marcó un espectacular golazo que puso el 3-1 en el marcador en el partido que España acabó ganando 4-1 a Georgia en los octavos de final de la Eurocopa.
""Con esto hemos demostrado que … [+1997 chars]",España
"Ya está disponible el nuevo número de MARCA Plus, edición Premier Padel Málaga 2024",2024-07-01T10:33:54Z,JESÚS MATA,"Regresa el mejor pádel del mundo, vuelve Premier Padel a España.Será en Málaga del 6 al 14 de julio en un escenario espectacular como es el Martín Carpena. 
Momo González, Alex Ruiz, Carolina Navarr… [+1159 chars]",España
Messi se entrena a menor ritmo y sigue la preocupación en Argentina de cara a cuartos,2024-07-01T18:22:35Z,JUAN CASTRO,"Argentina juega este jueves (madrugada de jueves a viernes en España) los cuartos de final de la Copa América ante Ecuador y la preocupación por el estado físico de Leo Messi sigue latente.
La contr… [+1104 chars]",España
"El 'pique' de Nico Williams y Lamine Yamal: ""Me va a tener que aguantar""",2024-07-01T06:19:17Z,J. MATA,"España se metió en los cuartos de final de la Eurocopa, donde espera Alemania este viernes a las 18:00, tras vencer a Georgia por 4-1 en un choque en el que, de nuevo, brillaron los 'niños': Nico Wil… [+1457 chars]",España
Unilever: cómo la «marca de marcas» enamora a millones de consumidores,2024-07-01T06:47:41Z,Fabiana Seara,"""En Unilever abrazamos esta apuesta por la creatividad con gran entusiasmo y orgullo"", asegura Ana Palencia, directora de Comunicación y Sostenibilidad en Unilever España.Cuando se piensa en empresas… [+5606 chars]",España
"Desempantallados. Así es la asociación valenciana que quiere ""frenar la digitalización descontrolada"" de los niños",2024-07-01T14:45:44Z,Sergio Asenjo,Las iniciativas para controlar el uso del móvil entre los más pequeños son cada vez más habituales. A finales del año pasado conocíamos la propuesta del Gobierno para prohibir el móvil en colegios e … [+3391 chars],España
"Pánico en Alemania por Nico y Lamine: ""Hay que pararles...""",2024-07-01T13:24:30Z,marca.com,"Joshua Kimmich, defensa de Alemania, aseguró este lunes en rueda de prensa que no sabe si la selección española ""estará contenta"" de enfrentarse a su equipo en los cuartos de final de la Eurocopa y a… [+3971 chars]",España
One UI 7 y Android 15 serán el final para todos estos Samsung Galaxy,2024-07-01T14:01:45Z,Iván Linares,"Samsung ha actualizado a Android 14 una buena parte de su catálogo; entregando One UI 6.1 junto a la actualización de sistema. Y lo tiene todo listo para dar el paso adelante, al menos para muchos de… [+2260 chars]",España
"Wimbledon 2024: dónde ver el partido de Carlos Alcaraz, seas del operador que seas",2024-07-01T15:20:11Z,Laura Sacristán,"Desde hoy, 1 de julio, y hasta el próximo 14 de julio, podremos disfrutar del torneo más tradicional de la temporada, el único Grand Slam que se disputa en hierba: Wimbledon. Y al igual que en años a… [+1747 chars]",España
Jazztel te regala 50 GB este verano: así puedes activar tu bono de datos gratis,2024-07-01T09:05:46Z,Laura Sacristán,"La primera en anunciar su promoción de verano fue Simyo, luego siguió su ejemplo Orange y ahora le toca el turno a la tercera marca de la antigua Orange España. Jazztel ha esperado a comenzar el mes … [+1514 chars]",España
El final de 'Guardianes de la Noche: Kimetsu no Yaiba' se contará en cines en forma de trilogía también en España,2024-07-01T07:39:01Z,Marcos Catalán,"Tanjiro Kamado y compañía dará pronto por finalizadas sus aventuras también en el anime
Aunque el manga de Guardianes de la Noche: Kimetsu no Yaiba finalizó su publicación a mediados de 2020 tras ll… [+2338 chars]",España
Alineación posible de Colombia vs. Brasil: dudas en la titular de Lorenzo para la Fecha 3 de Copa América,2024-07-01T16:32:26Z,MC,"Hay varias lecturas para el partido que tendrá la Selección Colombia contra Brasil para cerrar la fase de grupos de la Copa América 2024, a pesar de estar ya en la segunda instancia de la competencia… [+5953 chars]",España
Sergio Lozano lidera la lista de Fede Vidal para el Mundial de Uzbekistán,2024-07-01T12:07:23Z,JOSÉ ANTONIO GIMÉNEZ,La Federación Española de Fútbol consiguió que la presentación de la lista de la Selección para el Mundial de Uzbekistán fuera una auténtica fiesta. Desde el 'pitido inicial' con la presencia de Chem… [+1773 chars],España
"Estas son las cuatro cadenas de gasolineras más baratas, según la OCU: dónde están y cuánto de puedes ahorrar",2024-07-01T12:15:07Z,Liliana Fuchs,Millones de españoles cogerán o habrán cogido ya el coche para sus vacaciones de verano y estarán pendientes de cómo fluctúan los precios tanto de la gasolina como del diésel estas semanas. Encontrar… [+3248 chars],España
Estos tres destinos españoles están entre los más exigentes físicamente del mundo para el turista,2024-07-01T18:01:43Z,Jaime de las Heras,"Viajar es un placer. O no. Todo depende de los ojos con los que se miren y también de cuánto o cómo debamos sudar para visitar algunos de los monumentos más icónicos del mundo.
Lo que sí es cierto e… [+3208 chars]",España
"El valenciano candidato al Nobel que ha revolucionado el material del futuro: ""No hay ninguna razón para que España no sea una potencia en ciencia y tecnología""",2024-07-01T20:51:05Z,"Teresa Guerrero, Alberto Di Lolli",Corría el año 2005 cuando el físico valenciano Pablo Jarillo-Herrero (48 años recién cumplidos) viajó desde Holanda a la Universidad de Manchester para que Andre Geim y Konstantin Novoselov le enseña… [+528 chars],España
Aguas turquesas a los pies de un castillo medieval: la preciosa playa española a la que escaparnos este verano,2024-07-01T13:12:46Z,Anabel Palomares,"Con el calor nos entran ganas de hacer planes en los que no falte la playa. Y para estos planes, España es un imprescindible gracias a la cantidad de kilómetros de costa que tenemos en la península.… [+2076 chars]",España
Los eurodiputados acatan la Constitución con la ausencia del fugado Toni Comín y la renuncia a su acta de Teresa Ribera,2024-07-01T11:18:16Z,Marisa Cruz,"Los candidatos a representar a España en el Parlamento Europeo proclamados electos, han acatado la Constitución, como exige la legislación española, y ya cuentan con la credencial que les permitirá o… [+5019 chars]",España
La nueva app para que los adultos puedan ver porno en España será lanzada a finales de verano,2024-07-01T15:54:43Z,Benzo,El Gobierno de España ya tiene listo el sistema de verificación de edad en Internet que quiere usar para impedir que los menores de edad vean pornografía y otros contenidos para adultos. Se trata de … [+3216 chars],España
Orgullo y cabaret de una lesbiana española en el París que era una fiesta (el extraordinario mundo de la valenciana de las 27 cartas de amor),2024-07-01T13:31:59Z,Martín Mucha,Las cartas de Conchita están sobre la mesa de un piso cerca de la estación Nation de París. Están perfectamente alineadas. Sus sobres han sido abiertos por la parte superior con mimo. Apenas tienen a… [+526 chars],España
"44 años para ver al jugador 'total': Nico Williams marca, asiste y no falla un pase, ""pero no soy el mejor del torneo""",2024-07-01T09:40:34Z,Inma Lidón,"""Con su edad yo jugaba al fútbol"", confesaba Dani Olmo en las entrañas del estadio de Colonia, como si lo que habían hecho con 21 y 16 años Nico Williams y Lamine Yamal para derrotar a Georgia y llev… [+1972 chars]",España
Hosting web: Lo qué necesitas saber para poner en marcha tu web,2024-07-01T09:18:00Z,Redacción,"¿Estás a punto de poner en marcha tu nueva web? En ese caso, ¡enhorabuena! Arranca un proyecto verdaderamente emocionante que, con ayuda de las
 herramientas adecuadas, puede acabar siendo muy grati… [+5344 chars]",España
"Es una de las cascadas más bonitas de España, tiene aguas cristalinas en las que te puedes bañar y está a una hora de Valencia",2024-07-01T14:08:52Z,María Yuste,"Las zonas de interior son todo un acierto refrescante para visitar en verano, aunque solamos pensar siempre de primeras en la costa. No solo hay piscinas naturales que nos permiten darnos un buen cap… [+2491 chars]",España
España ya manda en Eslovaquia: la misión más importante para enfrentar a Rusia,2024-07-01T13:51:56Z,Marina Pina,"Los efectivos desplegados en la base eslovaca de Lest ya están a las órdenes de España. Esta mañana, y después de seis meses de preparación, se ha celebrado la ceremonia de traspaso de mando entre la… [+2715 chars]",España
"Aumentan un 21,3% los delitos de odio en España, casi la mitad por racismo y orientación sexual, según Interior",2024-07-01T13:25:14Z,Europa Press,"Las Fuerzas y Cuerpos de Seguridad del Estado investigaron en 2023 un total de 2.268 infracciones penales e incidentes de odio en España, lo que supone un incremento del 21,3 por ciento respecto a 20… [+5528 chars]",España
"El próximo marcador de Lamine Yamal se viene arriba: ""Es descifrable... puedes neutralizarlo""",2024-07-01T16:26:10Z,ERNESTO ASTONITAS,"A pocos días del duelo entre la anfitriona Alemania contra España por los cuartos de final, el lateral izquierdo alemán, David Raum, fue consultado sobre cómo marcará a Lamine Yamal, una de las perla… [+1532 chars]",España
"El Supremo comunica a Carles Puigdemont que, cuando visite España, sabrá enseguida si ha sido amnistiado o no",2024-07-01T13:26:14Z,Xavi Puig,El Tribunal Supremo ha declarado este lunes que el procedimiento que ofrece a Carles Puigdemont «mayores garantías jurídicas» para determinar si ha sido amnistiado por el delito de malversación de ca… [+876 chars],España
La preocupante imagen de Balotelli durante sus vacaciones: ebrio y... ¡por los suelos!,2024-07-01T12:16:00Z,marca.com,"Si Italia dejó un lamentable desempeño en la Eurocopa, unexjugador de la azzurra mostró una preocupante imagen en Lignano (localidad costera entre Udine y Venecia). Ese es Mario Balotelli, quien se e… [+558 chars]",España
El plan de China era usar gas natural como combustible de transición para abandonar el carbón. No será necesario,2024-07-01T19:00:14Z,Matías S. Zavia,"China es el país que más carbón consume del mundo, y en consecuencia el que más dióxido de carbono emite en la atmósfera. También es el mayor desarrollador de energías renovables. La eólica y la sola… [+2334 chars]",España
Mireia Sabaté releva a Bruno Domínguez como socia codirectora de Baker McKenzie,2024-07-01T07:56:16Z,Laura Saiz,"La socia de laboral compartirá la dirección nacional con Rodrigo Ogea.Cambios en la dirección de Baker McKenzie en España, que acaba de nombrar a Mireia Sabaté como nueva socia codirectora de la firm… [+318 chars]",España
Cómo crear mapas con ChatGPT en menos de 2 minutos,2024-07-01T06:00:30Z,Juan Diego Polo,"ChatGPT aún no consigue mostrar mapas dentro del chat, pero eso no significa que no podamos hacerlos, y aquí estoy para mostraron lo que podemos hacer para obtener la información de forma sencilla.
… [+1835 chars]",España
"Las curiosidades de ""Máxima"", el rodaje que dio la vuelta al mundo y que te encantará conocer",2024-07-01T17:16:25Z,Elena Sánchez-Beato,"Aquella polémica historia que encandiló a miles de personas antes de hacerse una serie, ahora ya es una auténtica producción convertida en realidad. La historia de amor entre Máxima y Guillermo Aleja… [+2077 chars]",España
"El precio de la vivienda sube un 8,4% en España con Madrid y Baleares en máximos",2024-07-01T07:45:12Z,Beatriz Amigot,"Vista del Paseo de Recoletos en Madrid.DREAMSTIMEEXPANSION
Los pisos se encarecieron un 3% en el segundo trimestre respecto del anterior, pero la subida del último año alcanza el 8,4%. 
Así se desp… [+436 chars]",España
Los 10 coches más vendidos en junio en España: sólo Seat aguanta el ritmo de Toyota,2024-07-01T10:48:18Z,Daniel G. Lifona,El Dacia Sandero lideró las ventas de coches nuevos el mes pasado y aumenta su ventaja en el acumulado del año con 16.309 unidades matriculadas en el primer semestre. Toyota fue la marca más vendida … [+5234 chars],España
"La Primera de Expansión sobre PAI Partners, Avatel Telecom, Banco de España, BlackRock y Francia",2024-07-01T05:27:57Z,expansion.com,"Este miércoles arrancamos contándoles que PAI se alía con Inveready para comprar Avatel por 550 millones de euros. Además, hablaremos sobre la primera vuelta de las elecciones en Francia que se salda… [+743 chars]",España
"Uría, Linklaters y Clifford analizan los retos de los abogados en España",2024-07-01T18:28:35Z,Raquel Moreno y Tamara Vázquez,"VÍDEO | Raquel Moreno y Tamara Vázquez. 
EXPANSIÓN celebra su IX Premios Expansión Jurídico, la gran noche del mundo de la abogacía en la que este año ha sido premiado como Mejor Despacho Uría Menén… [+152 chars]",España
Las dos caras de Mamardashvili: dentro y fuera del campo,2024-07-01T13:22:46Z,DARÍO PUIG,Giorgi Mamardashvili se ha convertido en uno de los nombres propios del planeta fútbol tras su Eurocopa. El portero de Georgia ha encandilado a muchos tras esta gran cita del balompié como es un torn… [+2290 chars],España
El Tribunal Supremo de España niega amnistía y mantiene orden de detención a Carles Puigdemont por delito de malversación de fondos,2024-07-01T21:07:33Z,Rocío Muñoz-Ledo,"¿Qué estaba en juego en las elecciones de Cataluña? 6:05
(CNN Español) -- El Tribunal Supremo de España anunció este lunes que declaró ""no amnistiado el delito de malversación de caudales públicos"" … [+1903 chars]",España
"27,7 millones de españoles ven cada día la televisión: los datos de audiencia de junio",2024-07-01T09:47:54Z,Fabiana Seara,"Los espectadores únicos en junio de 2024 de televisión tradicional alcanzan la cifra de 43,5 millones, según datos de Barlovento Comunicación.Los espectadores únicos acumulados en el mes de junio de … [+3060 chars]",España
Fecha y hora de estreno del 1x06 de 'Star Wars: The Acolyte' en Disney+,2024-07-01T10:58:29Z,Silvia Fernández,"Escena de la serie 'Star Wars: The Acolyte'
Los entusiastas del universo Star Wars están de enhorabuena desde el pasado 5 de junio, cuando se estrenaron los dos primeros capítulos de Star Wars: The … [+3554 chars]",España
Telefónica y Nokia ofrecerán redes privadas 5G para empresas,2024-07-01T08:23:59Z,Pablo Hernando Illán,"La red de Telefónica ha posibilitado el acuerdo
Telefónica y Nokia se han aliado para ofrecer redes privadas 5G a las empresas. Su acuerdo está enfocado en acelerar el desarrollo y despliegue de las… [+2709 chars]",España
'Bluey' actualiza la fecha de estreno de sus nuevos episodios cortos. Llegará mucho antes de lo que te imaginas,2024-07-01T14:26:04Z,Esteban García Marcos,"Finalmente, podremos disfrutar de los cortos de 'Bluey' más pronto de lo esperado
Los minisodios de Bluey llegarán mucho antes de lo que nos esperábamos. La fecha oficial fijada para el día 7 de jul… [+2616 chars]",España
t2ó consigue un nuevo éxito en los Google Marketing Partner Awards 2024 con un oro y una plata,2024-07-01T08:42:17Z,Redacción,"La agencia se ha hecho con dos reconocimientos por parte de Google con el caso de éxito de su cliente Palladium Hotel Group,
y con su solución tecnológica para la industria de travel, VIMANA.La cuar… [+3373 chars]",España
"Nuevo LG OLED evo M4, el primer televisor del mundo con transmisión inalámbrica 4K a 144 Hz",2024-07-01T16:26:56Z,Ilan Cherre,"El LG OLED evo M4 el sistema Zero Connect Box que permite la conexión inalámbrica y transmisión 4K a 144 Hz
La nueva serie de televisores LG OLED evo M4 ha llegado al mercado con una característica … [+2725 chars]",España
Ya tenemos la primera pista de los Apple Vision baratos y es muy prometedora,2024-07-01T09:01:44Z,Guille Lomener,Hace tan solo unos días hablábamos sobre la intención de Apple de priorizar el desarrollo de un Apple Vision Pro más barato y dejar para más adelante el desarrollo de Apple Vision Pro 2. A punto de l… [+3591 chars],España
Contratos escalonados y desempleo durante las recesiones en España,2024-07-01T05:00:44Z,admin,"Por Effrosyni Adamopoulou (ZEW) y Ernesto Villanueva (BdE)*
Se ha discutido en este blog que la incapacidad de los salarios para ajustarse a la baja cuando la demanda agregada cae bruscamente ha pod… [+5943 chars]",España
Así funcionará el «carnet digital» obligatorio para acceder a páginas porno en España,2024-07-01T15:30:47Z,Manuel Moreno,"Acceder a páginas web porno y para adultos en España no va a ser cosa de pulsar un botón, sino que va a implicar una serie de pasos más para verificar la identidad del internauta. El Gobierno de Espa… [+3942 chars]",España
"Megamix brutal: el increíble true crime del ritmo, ritmo de la noche",2024-07-01T23:57:15Z,Alberto Rey,"Da un poco de vértigo ver tu vida convertida en historia. Tanto como ver a los de tu generación convertidos en estrellas. Jordi Évole no es mucho más mayor que yo y es, sin duda ninguna, una estrella… [+3335 chars]",España
"De Bruyne, Tedesco y los periodistas belgas acaban a insultos y Koundé insiste contra Le Pen: ""Quita libertades""",2024-07-01T23:57:10Z,Abraham P. Romero,"Periodistas y futbolistas vivieron ayer una zona mixta muy caliente en el Dusseldorf Arena. Bueno, casi todos. Aurelien Tchouaméni sonreía ante la pregunta del millón de la prensa española: ""¿Alemani… [+3060 chars]",España
Ucrania anuncia un acuerdo vital de la mano de España,2024-07-01T05:34:08Z,Redacción HuffPost,"El Ministerio de Desarrollo de Comunidades, Territorios y Infraestructuras de Ucrania planea implementar un proyecto sobre el desarrollo de rutas ferroviarias en Ucrania de acuerdo con las normas de … [+2823 chars]",España
Un avión espía escanea 2.300 kilómetros de España,2024-07-01T09:08:43Z,Redacción HuffPost,"Un avión espía ha sobrevolado España escaneando la extensión de una friolera de 2.300 kilómetros. Se trató de una aeronave que representa una de las mejores bazas de las Fuerzas Aéreas de Alemania, a… [+1531 chars]",España
El Supremo de España descarta amnistiar a Puigdemont por malversación,2024-07-01T11:07:20Z,"RT en Español
 , RT en Español","El Tribunal Supremo de España rechazó este lunes perdonar el delito de malversación que atribuye al expresident catalán Carles Puigdemont y a dos exconsellers, Toni Comín y Lluis Puig, y acordó mante… [+393 chars]",España
España contra la historia ante Alemania,2024-07-01T08:47:32Z,Ferran Martínez Alonso,"Alguna vez tiene que ser la buena y esta generación absolutamente desacomplejada quiere pasar a la historia por ganar la cuarta Eurocopa, aunque primero deberán romper otro muro histórico. Y es que l… [+2362 chars]",España
España comienza su concentración sin Jenni Hermoso,2024-07-01T14:15:25Z,Begoña Villarrubia Renom,"La selección femenina española vuelve al ruedo con dos citas en mente: afrontar la última fase de clasificación hacia la Eurocopa de Suiza de 2025, torneo al que ya está clasificado, y coger rodaje d… [+2182 chars]",España
"Isabel Jado: ""Los virus de gripe aviar preocupan, pero también las infecciones sexuales. Tenemos muchos frentes abiertos""",2024-07-01T00:14:01Z,Raquel Serrano,"La misión de Isabel Jado, al frente del Centro Nacional de Microbiología (CNM), un organismo dependiente del Instituto de Salud Carlos III (ISCIII), es apoyar al Sistema Nacional de Salud en el diagn… [+8116 chars]",España
Los cruces de la Eurocopa 2024 desde octavos hasta la final. Así sería el camino de España,2024-07-01T13:45:38Z,urielblanco,"(CNN Español) -- La Eurocopa 2024 se encuentra en sus fases de eliminación directa. España clasificó a cuartos y sigue su avance como uno de los favoritos.
España derrotó con contundencia a Georgia … [+1897 chars]",España
Eurocopa 2024: resultados de octavos de final,2024-07-01T18:25:40Z,CNNEspañol sjv,"Así quedaron los emparejamientos de octavos de final en la Euro 2024 2:38
(CNN Español) -- La Eurocopa 2024 está en plena acción y ya se juegan los octavos de final. Suiza tumbó a la campeona Italia… [+2943 chars]",España
"Muere Sigifredo Vega, actor de 'Pasión de Gavilanes'",2024-07-01T12:08:59Z,marca.com,"El sindicato de actores Sociedad Colombiana de Gestión (SCG) ha confirmado este lunes, 1 de julio, la muerte de Sigifredo Vega, conocido por dar vida a Filemón Barragán en la aclamada telenovela 'Pas… [+1564 chars]",España
"Santiago Segura anuncia el regreso de 'Torrente': ""El año que viene ruedo 'Torrente presidente""",2024-07-01T21:06:03Z,J. F. BORRELL,"'El Hormiguero' ha echado este lunes el cierre a su 18ª temporada con la visita, un curso más, con la visita del actor y cineasta Santiago Segura. El segundo invitado que más veces ha visitado el pro… [+1508 chars]",España
Aurah Ruiz desvela por error la fecha de la final de 'Supervivientes All Stars',2024-07-01T10:37:39Z,marca.com,"'Supervivientes' se ha convertido en el formato estrella de Telecinco en esta primera mitad de 2024. El concurso, que reúne a una serie de famosos en Honduras, ha vivido ya la final de la edición nor… [+1578 chars]",España
"Del mar a la lata: así se transforma el bocarte en la anchoa, el ""jamón del mar""",2024-07-01T22:12:32Z,"Luis Blasco Alís, Daniel Izeddin (Vídeo)","A las 9.30 de la mañana, la sirena rompe el ambiente en la lonja de Santoña. Es la señal que indica que un barco se aproxima a puerto. Por la bocana asoma el Marcelina Lecue, con los marineros asomad… [+8640 chars]",España
